"OwnId";"Landuse";"Field";"Plot";"OnFarm";"Irrigate";"Fertilised";"N_Natural";"Bottom";"PH";"PercClay";"PercSilt";"PercSand";"Class";"PercTotNitro";"PercSOC";"PercTotPhos";"BulkDensity";"Lat";"Long"
"66";"Offfarm NINF";"3";"11";1;0;0;0;1;80;5.33;10.16;2.56;87.28;"loamy sand";0.11;0.383667622;0.124592834;1.095090802;-8.345216352;36.15030551
"67";"Offfarm NINF";"3";"12";2;0;0;0;1;20;5.69;20.16;14.56;65.28;"sandy clay loam";0.22;3.244412607;0.123371336;0.891762539;-8.342252172;36.15270371
"68";"Offfarm NINF";"3";"12";2;0;0;0;1;30;5.62;22.16;12.56;65.28;"sandy clay loam";0.14;1.359598854;0.054560261;1.059723037;-8.342252172;36.15270371
"69";"Offfarm NINF";"3";"12";2;0;0;0;1;40;5.68;20.16;8.56;71.28;"sandy clay loam";0.13;1.426647564;0.045602606;0.932369973;-8.342252172;36.15270371
"70";"Offfarm NINF";"3";"12";2;0;0;0;1;50;5.54;26.16;12.56;61.28;"sandy clay loam";0.14;1.773065903;0.113599349;1.138463617;-8.342252172;36.15270371
"71";"Offfarm NINF";"3";"12";2;0;0;0;1;60;5.59;22.16;8.56;69.28;"sandy clay loam";0.13;1.489971347;0.023208469;0.974287324;-8.342252172;36.15270371
"72";"Offfarm NINF";"3";"12";2;0;0;0;1;80;5.78;18.16;8.56;73.28;"sandy loam";0.1;1.444444444;0.013843648;1.103386944;-8.342252172;36.15270371
"73";"Offfarm NINF";"3";"13";3;0;0;0;1;20;5.62;20.16;22.56;57.28;"sandy clay loam";0.33;5.488888889;0.106677524;0.620609673;-8.342845711;36.10866759
"74";"Offfarm NINF";"3";"13";3;0;0;0;1;30;5.37;18.16;22.56;59.28;"sandy loam";0.3;4.600286533;0.060260586;0.675044011;-8.342845711;36.10866759
"75";"Offfarm NINF";"3";"13";3;0;0;0;1;40;5.51;22.16;20.56;57.28;"sandy clay loam";0.17;2.506504298;0.142915309;0.763681743;-8.342845711;36.10866759
"76";"Offfarm NINF";"3";"13";3;0;0;0;1;50;5.42;22.16;14.56;63.28;"sandy clay loam";0.16;1.040257809;0.074918567;1.029449394;-8.342845711;36.10866759
"77";"Offfarm NINF";"3";"13";3;0;0;0;1;60;5.62;18.16;14.56;67.28;"sandy loam";0.12;0.599405057;0.093241042;1.085193649;-8.342845711;36.10866759
"78";"Offfarm NINF";"3";"13";3;0;0;0;1;80;5.03;16.16;6.56;77.28;"sandy loam";0.07;0.305503223;0.07247557;1.062342871;-8.342845711;36.10866759
"79";"Offfarm NINF";"3";"14";4;0;0;0;1;20;5.78;28.16;12.56;59.28;"sandy clay loam";0.16;2.98;0.109120521;0.861197804;-8.409802434;36.14998936
"80";"Offfarm NINF";"3";"14";4;0;0;0;1;30;5.82;30.16;8.56;61.28;"sandy clay loam";0.13;1.42;0.052931596;1.104260222;-8.409802434;36.14998936
"81";"Offfarm NINF";"3";"14";4;0;0;0;1;40;5.95;24.16;6.56;69.28;"sandy clay loam";0.09;0.6;0.044788274;1.258684909;-8.409802434;36.14998936
"82";"Offfarm NINF";"3";"14";4;0;0;0;1;50;6.12;24.16;8.56;67.28;"sandy clay loam";0.06;0.529796728;0.048859935;1.202358468;-8.409802434;36.14998936
"83";"Offfarm NINF";"3";"14";4;0;0;0;1;60;6.33;18.16;6.56;75.28;"sandy loam";0.07;0.162419435;0.023208469;1.26465231;-8.409802434;36.14998936
"84";"Offfarm NINF";"3";"14";4;0;0;0;1;80;5.42;14.16;4.56;81.28;"sandy loam";0.05;0.397222222;0.026465798;1.469144943;-8.409802434;36.14998936
"85";"Offfarm NINF";"3";"15";5;0;0;0;1;20;5.69;30.16;18.56;51.28;"sandy clay loam";0.27;4.077272727;0.148208469;0.916068781;-8.412007894;36.14888447
"86";"Offfarm NINF";"3";"15";5;0;0;0;1;30;5.76;34.16;18.56;47.28;"sandy clay loam";0.21;2.747727273;0.113599349;1.004269874;-8.412007894;36.14888447
"87";"Offfarm NINF";"3";"15";5;0;0;0;1;40;5.82;38.16;16.56;45.28;"sandy clay";0.17;2.634272727;0.088355049;1.207598137;-8.412007894;36.14888447
"88";"Offfarm NINF";"3";"15";5;0;0;0;1;50;6.02;36.16;18.56;45.28;"sandy clay";0.11;1.868454545;0.06514658;1.318650009;-8.412007894;36.14888447
"89";"Offfarm NINF";"3";"15";5;0;0;0;1;60;6.17;40.16;14.56;45.28;"sandy clay";0.11;1.478454545;0.096905537;1.20468721;-8.412007894;36.14888447
"90";"Offfarm NINF";"3";"15";5;0;0;0;1;80;6.48;39.6;9.28;51.12;"sandy clay";0.07;1.162909091;0.168159609;1.332768005;-8.412007894;36.14888447
"91";"Natural";"4";"16";1;0;0;0;0;20;6.39;25.6;11.28;63.12;"sandy clay loam";0.12;3.226363636;0.199511401;0.933534344;-8.363657043;36.11187074
"92";"Natural";"4";"16";1;0;0;0;0;30;6.11;27.6;11.28;61.12;"sandy clay loam";0.16;2.967545455;0.149837134;0.978217076;-8.363657043;36.11187074
"93";"Natural";"4";"16";1;0;0;0;0;40;5.94;29.6;11.28;59.12;"sandy clay loam";0.13;1.95;0.122557003;1.043567391;-8.363657043;36.11187074
"94";"Natural";"4";"16";1;0;0;0;0;50;5.99;29.6;15.28;55.12;"sandy clay loam";0.13;2.074090909;0.107899023;1.172230372;-8.363657043;36.11187074
"95";"Natural";"4";"16";1;0;0;0;0;60;5.93;27.6;11.28;61.12;"sandy clay loam";0.11;1.542272727;0.080618893;1.172521465;-8.363657043;36.11187074
"96";"Natural";"4";"16";1;0;0;0;0;80;5.91;25.6;19.28;55.12;"sandy clay loam";0.09;1.045909091;0.081026059;1.193771233;-8.363657043;36.11187074
"97";"Natural";"4";"17";2;0;0;0;0;20;6.39;33.6;3.28;63.12;"sandy clay loam";0.22;1.680545455;0.109527687;1.080681712;-8.36411755;36.11307387
"98";"Natural";"4";"17";2;0;0;0;0;30;5.79;39.6;9.28;51.12;"sandy clay";0.15;1.737272727;0.079397394;1.179362143;-8.36411755;36.11307387
"99";"Natural";"4";"17";2;0;0;0;0;40;5.28;35.6;19.28;45.12;"sandy clay";0.11;1.723090909;0.118078176;1.207452591;-8.36411755;36.11307387
"100";"Natural";"4";"17";2;0;0;0;0;50;5.54;37.6;11.28;51.12;"sandy clay";0.11;1.577727273;0.119299674;0.918688615;-8.36411755;36.11307387
"101";"Natural";"4";"17";2;0;0;0;0;60;5.71;35.6;17.28;47.12;"sandy clay";0.1;1.347272727;0.056596091;1.171939279;-8.36411755;36.11307387
"102";"Natural";"4";"17";2;0;0;0;0;80;5.85;29.6;25.28;45.12;"sandy clay loam";0.1;1.092;0.05985342;1.207307044;-8.36411755;36.11307387
"103";"Natural";"4";"18";3;0;0;0;0;20;5.16;37.6;11.28;51.12;"sandy clay";0.25;3.190909091;0.063925081;0.837182654;-8.36246873;36.11368473
